P1 Average ,30.0397
P2 Average,20.7758
P3 Average ,19.8021
F1 Average,2.45671
Velocity ,12.0376
Volumetric Flow ,9.45428
Mass Flow ,0.341952

Sample Number ,P1 ,P2 ,P3 ,F1
1,25.245,26.6,15.455,3.2414
2,34.155,19.64,23.885,2.6364
3,24.48,25.985,16.835,2.9268
4,37.125,18.05,27.125,3.1776
5,27.165,16.685,23.69,1.708
6,33.87,24.335,12.95,2.962
7,36.855,23.48,23.36,2.1788
8,25.32,22.37,25.835,1.8642
9,26.115,22.61,25.805,2.4274
10,27.66,23.24,20.93,2.0754
11,36.945,15.47,19.91,1.917
12,25.77,18.035,17.045,1.8312
13,36.72,26.63,19.94,2.1656
14,36.51,24.425,15.86,2.5484
15,36.585,14.435,17.81,2.4076
16,32.775,23.9,18.335,3.1314
17,24.225,27.455,19.76,3.0522
18,23.505,22.73,25.19,3.4834
19,26.13,15.35,14.045,2.7904
20,30.21,18.62,15.74,1.95
21,23.745,25.31,20.03,1.8026
22,37.23,21.89,26.405,2.775
23,30.135,27.14,15.77,2.313
24,32.205,18.155,25.07,1.6486
25,23.97,20.24,22.385,1.4242
26,26.25,26.855,21.275,3.556
27,28.05,14.03,18.59,1.7146
28,37.26,12.695,13.88,3.1622
29,36.735,16.67,22.97,2.1304
30,30.975,23.225,21.035,2.0776
31,24.84,24.035,12.77,2.9334
32,33.09,16.535,15.83,1.8312
33,34.875,18.245,13.67,2.0622
34,32.76,20.255,15.56,1.444
35,24.81,14.945,13.37,2.5572
36,23.625,25.61,23.81,1.4748
37,32.25,12.845,17.255,2.3966
38,24.6,14.255,17.54,2.0226
39,22.62,24.215,21.425,2.6826
40,26.805,21.335,23.6,1.763
41,28.59,13.43,17.12,3.3316
42,33.315,13.025,14.18,2.6562
43,23.145,27.365,20.705,1.5012
44,25.32,18.11,16.13,2.467
45,25.995,15.605,23.42,2.9488
46,28.77,25.82,25.37,3.2612
47,31.5,14.465,13.79,2.621
48,28.11,15.26,13.1,3.0104
49,26.835,20.93,20.255,1.4836
50,25.545,18.71,14.96,1.9698
51,35.88,26.075,18.875,3.4548
52,23.25,24.89,21.185,2.1612
53,35.265,19.94,21.395,3.5604
54,32.58,26.615,15.755,2.3064
55,24.135,26.705,19.355,2.1986
56,36.03,13.43,15.77,1.4726
57,35.52,27.05,21.995,2.0072
58,30.405,22.19,22.445,2.5506
59,25.47,18.17,25.16,3.4416
60,35.67,19.535,23.045,2.2646
61,31.5,25.49,26.675,1.7322
62,24.39,15.305,19.64,3.0522
63,27.75,15.59,24.71,3.0016
64,28.005,19.445,14.33,1.4418
65,28.56,14.765,19.82,1.686
66,27.78,19.88,19.025,3.0764
67,31.995,14.315,24.32,2.4956
68,29.205,19.565,13.535,2.0358
69,36.15,21.545,14.195,3.3426
70,35.505,14.93,18.17,1.5166
71,27.24,22.385,12.785,2.8102
72,23.385,16.28,23.66,2.5704
73,34.545,16.7,27.17,1.6244
74,27.825,21.005,22.685,3.3558
75,33.6,26.39,25.115,2.7684
76,22.83,22.94,24.695,3.204
77,32.94,24.095,20.9,2.0204
78,36.525,25.505,22.295,2.6298
79,35.55,21.53,25.13,2.0512
80,33.765,27.32,14.48,2.0556
81,36.195,25.175,24.965,2.863
82,29.625,23.285,14.225,1.4176
83,33.06,25.955,22.265,1.422
84,32.385,15.035,23.78,2.1744
85,29.04,20.3,13.175,2.9906
86,36.465,15.935,16.16,3.4526
87,26.775,26.72,14.21,3.4306
88,26.19,26.42,26.63,3.2964
89,36.27,18.71,18.125,2.6386
90,29.07,15.335,14.645,2.665
91,35.76,26.225,16.01,1.642
92,25.575,13.595,27.32,1.7124
93,27.345,16.97,26.45,3.1248
94,33.165,21.02,24.125,2.841
95,26.115,25.22,26.93,3.501
96,32.55,16.325,17.75,1.8224
97,36.66,24.44,16.025,2.005
98,30.48,22.685,26.225,2.7838
99,26.715,23.105,14.525,2.8168
100,25.935,21.395,24.05,2.1348
101,32.28,17.615,18.59,3.2634
102,36.345,19.04,21.83,3.292
103,23.355,20.51,18.8,2.1216
104,24.045,20.675,23.72,3.248
105,33.93,22.19,15.035,3.1314
106,25.965,16.82,19.925,3.3096
107,33.99,16.115,24.5,3.0764
108,35.37,27.485,17.45,2.3306
109,35.94,26.9,16.475,2.4912
110,29.535,24.17,25.115,1.9918
111,32.895,24.245,13.205,1.95
112,25.29,25.07,27.155,2.9598
113,34.17,26.48,12.53,1.5078
114,24,17.615,26.465,2.1436
115,24.84,25.55,15.59,2.8476
116,22.695,20.975,14.255,2.4802
117,28.47,12.68,14.465,3.2062
118,26.7,15.995,23.06,1.4572
119,30.285,22.715,20.585,1.6838
120,34.725,25.565,20.825,2.192
