Users ,John_Cole,Sam_Wehner,Date ,4/26/2018
Class Name ,Fluid_Mechanics
Project Name ,Fluid_Flow
P1 Average ,29.6677
P2 Average,20.0423
P3 Average ,20.7319
F1 Average,2.47243
Velocity ,12.076
Volumetric Flow ,9.48446
Mass Flow ,0.343044

Sample Number ,P1 ,P2 ,P3 ,F1
1,26.19,23.87,20.36,2.8102
2,33.825,18.905,26.63,2.6122
3,36.105,15.455,20.735,2.5792
4,27.285,16.64,23.345,3.4196
5,33.54,22.685,23.825,1.8708
6,24.33,17.885,17.06,1.8026
7,31.545,19.91,23.405,2.61
8,29.73,16.685,15.155,1.9456
9,25.665,27.245,25.07,2.0842
10,27.93,17.6,21.605,2.4758
11,33.135,15.215,16.13,2.115
12,33.285,23.585,16.745,2.9488
13,22.545,24.365,25.835,2.7002
14,32.07,14.72,19.565,3.0852
15,26.22,20.735,22.04,1.4352
16,23.985,22.25,17.255,1.8928
17,26.775,12.605,27.395,3.3338
18,22.545,21.35,16.43,2.2404
19,25.005,15.125,25.85,2.049
20,25.56,23,16.04,2.1194
21,33.15,24.41,21.68,2.137
22,28.725,13.535,24.5,1.9874
23,33.78,23.21,24.995,1.7212
24,36.135,25.025,19.43,1.8752
25,35.88,24.845,18.005,1.7872
26,36.165,19.1,13.64,1.73
27,25.14,25.115,26.405,1.4792
28,26.415,14.3,24.845,2.6386
29,33.36,22.7,26.15,2.9048
30,28.38,21.17,23.375,3.0346
31,36.12,20.015,27.125,3.292
32,29.805,21.545,20,1.8774
33,36.69,18.83,24.245,2.2536
34,33.39,19.505,13.235,1.8752
35,25.395,20.615,20.525,2.995
36,26.25,24.575,24.65,1.741
37,29.505,14.555,15.71,3.0874
38,28.125,21.545,21.215,1.8796
39,27,24.68,19.52,1.6772
40,23.25,19.955,18.23,2.9906
41,35.16,25.76,16.7,1.5078
42,33.405,12.815,12.71,3.0324
43,32.955,16.385,17.72,2.8476
44,26.16,17.615,22.07,2.1766
45,36.345,19.67,26.6,3.2304
46,24.24,26.315,12.5,1.884
47,30.525,12.755,26.57,3.16
48,29.31,26.135,26.99,2.5044
49,23.775,13.37,14.24,2.1744
50,23.505,24.02,26.555,2.7684
51,28.875,27.155,22.64,3.1292
52,24.225,18.38,20.12,3.3954
53,22.935,16.205,18.74,2.9642
54,29.595,21.785,22.67,3.1182
55,22.71,18.68,26.3,2.775
56,28.89,24.125,25.505,2.5462
57,35.745,18.71,23.93,3.248
58,23.61,19.28,20.72,2.4758
59,24.555,17.075,17.795,1.6442
60,37.23,18.44,20.33,2.5836
61,26.715,18.17,19.835,3.3624
62,33.105,24.41,19.205,1.6904
63,28.38,19.265,16.055,2.9378
64,35.55,21.14,25.055,1.9566
65,26.19,25.865,26.09,2.8146
66,33.21,24.845,23.135,2.4538
67,24.78,20.69,14.33,2.0314
68,27.03,25.625,17.21,2.9422
69,36.99,13.115,26.33,1.8708
70,29.88,14.855,15.545,2.6012
71,31.23,16.82,13.865,2.4296
72,35.505,17.525,19.415,2.3746
73,25.605,21.23,26.24,2.5946
74,27.99,19.745,14.27,2.929
75,26.685,23.015,23.165,2.7794
76,33.105,22.415,14.21,3.3668
77,35.415,12.905,27.38,2.8036
78,24.6,22.4,22.61,1.9786
79,23.325,24.05,27.035,1.9918
80,34.995,14.855,21.755,1.983
81,34.83,20.195,26.18,1.8686
82,23.16,24.62,17.015,2.0226
83,27.735,22.955,16.925,2.9906
84,29.52,21.38,20.36,3.1842
85,30.495,21.38,14.36,1.939
86,24.585,25.565,18.8,1.9698
87,22.56,18.05,20.045,2.6276
88,24.405,22.82,17.33,2.9466
89,28.53,22.025,26.405,2.731
90,28.575,16.28,25.28,2.1766
91,25.785,21.83,16.52,2.698
92,26.475,17.87,19.085,2.8388
93,31.125,18.275,19.91,2.9312
94,35.22,18.005,25.01,3.1204
95,29.775,20.885,25.175,1.7124
96,33.75,25.865,22.34,3.4746
97,34.785,21.44,20.165,2.2778
98,30.18,13.235,23.45,1.8796
99,27.06,19.895,12.575,1.6948
100,35.745,15.35,17.825,2.1854
101,35.025,13.295,23.39,2.0908
102,29.985,21.065,22.61,1.5034
103,37.035,15.515,13.385,3.4922
104,27.63,19.985,23.96,2.8762
105,32.505,27.095,14.435,3.1314
106,35.07,16.67,15.365,3.0852
107,37.095,24.32,24.41,2.071
108,31.29,25.475,14.54,2.192
109,36.78,17.495,22.415,2.5836
110,23.055,26.225,23.975,3.1072
111,22.875,17.3,15.395,1.4682
112,25.23,13.97,26.36,1.5782
113,35.445,20.015,19.43,3.424
114,29.91,16.4,18.425,2.6078
115,32.835,18.215,22.64,2.9664
116,25.575,16.07,18.59,3.2502
117,31.35,23.405,21.275,2.2602
118,30.15,26.18,23.96,2.841
119,29.64,18.575,16.685,2.6122
120,33.39,13.205,19.73,2.1282
