Users ,John_Cole,Jay_Wheeler,Jonathan_Wyatt,
Date ,4/26/2018
Class Name ,f
Project Name ,F
P1 Average ,30.1437
P2 Average,19.7403
P3 Average ,18.988
F1 Average,2.47089
Velocity ,12.0722
Volumetric Flow ,9.48151
Mass Flow ,0.342937

Sample Number ,P1 ,P2 ,P3 ,F1
1,26.28,23.105,19.85,3.0632
2,33.195,20.87,18.53,2.0556
3,22.635,13.7,16.85,3.2304
4,30.375,17.915,14.96,1.8422
5,26.295,14.03,14.48,1.8598
6,33.15,23.21,15.8,2.1062
7,28.68,16.085,22.97,2.2866
8,34.635,17.285,21.965,2.258
9,31.845,21.62,19.715,2.852
10,26.625,15.125,15.185,2.566
11,23.01,15.08,18.545,2.8586
12,25.38,26.525,23.375,1.8246
13,32.31,26.435,22.55,2.467
14,31.08,18.725,15.32,2.5374
15,22.62,18.05,21.2,2.8058
16,32.415,27.17,13.865,1.8994
17,33.18,20.84,12.995,3.083
18,36.885,21.995,19.025,3.4856
19,35.385,13.595,17.06,1.6332
20,29.805,14.66,18.965,2.4164
21,25.155,15.98,16.685,2.7508
22,36.435,25.325,17.51,1.5056
23,37.245,15.665,17.63,3.4306
24,24.93,26.345,25.055,2.4406
25,36.39,15.725,13.16,1.488
26,26.79,17.465,14.93,3.2524
27,32.505,14.3,12.755,1.6662
28,32.265,18.305,21.17,1.7322
29,26.655,22.61,27.455,2.0094
30,26.04,13.88,14.72,1.6332
31,25.29,26.675,15.98,3.105
32,35.565,21.41,13.145,2.4736
33,26.01,23.21,14.9,1.6398
34,28.725,20.255,25.7,2.0732
35,29.01,16.565,23.165,2.6232
36,23.985,21.635,27.35,2.379
37,32.505,17.18,20.69,3.0236
38,31.335,19.91,19.76,2.7618
39,26.34,14.72,15.17,2.7244
40,26.895,19.1,23.285,3.0368
41,27.36,21.08,15.125,2.8168
42,36.225,19.205,23.135,3.3118
43,32.955,23.315,13.58,2.742
44,32.34,13.475,13.865,2.4912
45,30.69,25.94,17.36,1.7278
46,26.43,27.065,19.94,3.1292
47,34.29,13.895,20.855,3.4548
48,34.545,20.36,23.045,1.5584
49,25.665,24.095,18.485,2.5198
50,32.85,22.85,18.035,2.797
51,33.18,21.305,23.015,1.7102
52,34.29,20.825,14.555,1.8224
53,29.145,14.12,16.295,3.1182
54,28.455,20.255,23.045,3.1094
55,25.98,15.665,26.885,2.8278
56,25.29,26.27,22.535,2.3174
57,31.965,26.39,24.89,2.2426
58,35.865,14.375,22.175,2.7288
59,30.39,14.765,15.245,1.5122
60,34.86,26.885,23.795,3.435
