Users ,Mark_Stair,
Date ,4/27/18
Class Name ,F
Project Name ,F
P1 Average ,29.5487PSI
P2 Average,20.3108PSI
P3 Average ,19.7068PSI
F1 Average,2.62151PSI
Velocity ,12.4348ft/sec^2
Volumetric Flow ,ft^3/sec9.76623
Mass Flow ,0.353235

Sample Number ,P1 ,P2 ,P3 ,F1
1,26.325,24.53,27.005,3.5142
2,35.955,17.51,20.285,2.9554
3,34.965,18.665,23.87,3.1072
4,35.91,21.26,17.585,3.5582
5,32.055,21.695,19.64,1.455
6,36.12,17.24,17.885,3.1864
7,30.885,16.67,20.825,2.841
8,29.505,26.045,14.42,3.2832
9,25.035,27.455,20.12,2.8168
10,35.595,24.56,24.5,3.5538
11,27.66,24.23,26.33,1.7124
12,29.655,25.715,19.88,3.4856
13,25.62,26.315,18.695,1.9236
14,34.935,27.02,23.645,2.3658
15,26.22,13.985,16.715,2.2096
16,32.7,13.445,13.415,3.2546
17,36.075,26.105,15.32,3.5428
18,36.72,16.22,27.035,1.9148
19,34.77,14.885,23.12,1.6222
20,30.33,20.555,24.74,3.3998
21,29.205,21.335,15.35,2.962
22,32.175,20.375,24.185,1.9214
23,33.495,14.45,21.14,2.5924
24,23.685,18.89,12.98,3.4482
25,23.685,24.605,21.74,2.61
26,34.785,14.675,16.13,2.6188
27,23.16,22.43,22.13,3.5032
28,27.12,20.195,22.895,3.545
29,25.605,24.155,15.71,1.7894
30,24.135,17.24,22.625,1.576
31,27.87,17,18.26,1.9126
32,32.805,22.22,13.01,2.302
33,29.76,13.19,23.99,2.962
34,27.99,22.58,13.265,2.7222
35,24.765,23.36,25.295,2.5374
36,23.52,22.94,18.8,2.7464
37,29.265,23.39,19.895,3.1732
38,23.52,17.96,17.285,2.3284
39,24.135,20.66,12.74,1.4
40,34.26,17.21,27.035,2.3988
41,30.78,23.81,18.14,3.0632
42,30.96,14.945,20.12,3.4416
43,25.665,25.34,13.55,2.6276
44,35.955,14.525,13.19,2.9532
45,23.715,27.305,17.465,2.665
46,27.345,13.79,24.725,1.7168
47,28.125,22.19,13.745,2.2206
48,32.625,23.045,23.405,2.7024
49,24.33,21.53,21.8,3.1622
50,24.15,18.8,19.655,2.8762
51,33.045,21.17,17.225,2.8586
52,27.12,13.04,16.955,1.8268
53,24.075,25.82,18.5,2.3372
54,26.01,17.9,12.8,3.4702
55,25.365,14.99,17.39,1.73
56,36.3,19.805,18.65,1.928
57,32.625,17.63,22.52,1.7432
58,26.385,22.025,23.525,3.2766
59,37.2,12.905,23.75,1.5804
60,29.175,25.115,25.805,2.3592
